User_ID,Screen_Time_Hours,Social_Media_Hours,Gaming_Hours,Work_Study_Hours,Sleep_Hours,Daily_App_Opens
USR_050,3.6,1.4,0.6,6.4,7.7,68.0
USR_051,10.0,4.7,2.6,2.0,6.1,162.0
USR_052,10.3,5.7,3.5,2.6,6.8,156.0
USR_053,11.9,5.2,4.0,1.4,4.5,189.0
USR_054,11.7,4.4,4.0,2.3,5.9,166.0
USR_055,11.0,4.5,3.6,1.7,5.0,168.0
USR_056,11.1,3.7,4.6,1.5,5.2,150.0
USR_057,12.5,4.5,3.0,1.9,5.1,148.0
USR_058,10.3,4.3,3.9,1.4,4.9,149.0
USR_059,11.7,4.8,4.1,1.7,5.5,170.0
USR_060,10.8,3.8,4.5,1.3,4.9,149.0
USR_061,10.7,4.9,4.6,3.2,5.7,167.0
USR_062,12.3,5.7,3.0,2.0,5.5,212.0
USR_063,12.0,4.4,2.6,1.6,5.3,182.0
USR_064,12.0,4.8,5.1,2.1,4.9,152.0
USR_065,12.6,5.1,4.3,1.9,5.1,190.0
USR_066,11.0,4.2,3.3,1.9,6.0,150.0
USR_067,11.8,4.7,5.4,2.4,5.9,109.0
USR_068,10.6,4.5,4.1,2.5,4.8,135.0
USR_069,11.4,4.6,5.1,1.7,5.6,113.0
USR_070,10.8,3.9,4.1,1.7,6.0,151.0
USR_071,11.1,4.5,5.9,1.8,4.3,160.0
USR_072,11.7,4.9,5.6,0.6,5.9,202.0
USR_073,10.0,5.7,3.8,1.1,5.0,168.0
USR_074,13.5,5.3,4.9,2.8,5.9,155.0
USR_075,9.8,6.2,4.6,3.0,5.0,181.0
USR_076,9.5,3.9,5.2,1.9,4.2,105.0
USR_077,12.4,5.2,3.1,2.3,4.4,166.0
USR_078,11.9,4.6,4.6,2.2,5.5,179.0
USR_079,11.7,6.3,5.0,3.8,5.7,123.0
USR_080,11.8,3.9,2.4,2.7,4.9,189.0
USR_081,11.0,3.8,2.9,1.9,5.9,168.0
USR_082,9.9,4.0,2.2,1.4,4.3,150.0
USR_083,11.1,2.8,3.8,1.0,5.5,176.0
USR_084,10.2,4.1,4.6,2.1,4.7,217.0
USR_085,12.2,3.9,5.4,1.5,5.0,165.0
USR_086,10.8,4.6,4.1,1.1,5.5,166.0
USR_087,10.0,4.8,5.5,1.6,4.9,149.0
USR_088,10.6,6.0,2.8,1.4,5.2,139.0
USR_089,11.5,5.3,2.5,3.0,6.2,
USR_090,10.3,4.0,4.0,2.5,5.1,139.0
USR_091,10.0,3.8,4.3,2.0,6.1,162.0
USR_092,11.3,4.9,4.0,2.9,4.7,148.0
USR_093,11.3,3.4,2.1,2.0,5.9,172.0
USR_094,10.4,6.0,3.9,1.5,6.5,168.0
USR_095,10.4,5.4,2.8,2.9,3.8,186.0
USR_096,11.3,4.1,4.6,2.3,4.9,147.0
USR_097,9.3,3.1,4.3,1.4,5.9,153.0
USR_098,9.3,5.6,3.2,1.9,5.4,136.0
USR_099,10.1,4.4,3.5,1.5,5.8,149.0
USR_100,10.7,5.5,3.0,1.2,5.1,169.0
USR_101,7.2,3.4,1.0,3.8,7.5,86.0
USR_102,5.7,3.1,1.6,3.4,6.7,87.0
USR_103,7.3,2.4,0.9,3.7,7.0,85.0
USR_104,7.7,1.9,0.6,5.3,6.8,113.0
USR_105,6.9,3.8,0.6,3.7,6.8,116.0
USR_106,8.2,2.5,1.4,6.6,6.8,86.0
USR_107,5.8,2.5,0.7,4.9,7.1,83.0
USR_108,5.4,2.5,1.9,4.6,6.8,102.0
USR_109,4.9,2.6,0.4,3.8,7.6,87.0
USR_110,7.8,2.4,1.9,5.1,6.6,104.0
USR_111,7.1,2.2,1.3,4.0,6.9,98.0
USR_112,6.4,2.2,1.2,4.6,6.8,72.0
USR_113,6.8,2.5,1.0,6.5,7.7,118.0
USR_114,5.5,2.2,1.4,4.4,7.1,122.0
USR_115,8.7,2.1,1.2,5.4,7.5,86.0
USR_116,6.6,2.6,1.6,3.9,6.3,89.0
USR_117,6.6,2.4,1.2,4.5,7.1,99.0
USR_118,7.2,3.3,1.3,5.9,7.4,100.0
USR_119,6.9,1.2,1.1,4.0,7.0,105.0
USR_120,6.7,3.0,1.2,5.9,7.5,125.0
USR_121,5.8,3.1,1.3,5.1,6.7,92.0
USR_122,6.9,1.5,0.5,4.1,7.7,83.0
USR_123,8.2,2.3,0.7,5.0,8.1,74.0
USR_124,7.7,2.3,1.5,5.3,6.8,84.0
USR_125,7.9,1.8,1.3,5.0,6.8,95.0
USR_126,6.0,2.1,1.1,3.2,7.7,122.0
USR_127,5.6,1.9,1.2,3.9,7.8,87.0
USR_128,6.4,3.4,1.3,4.3,6.7,98.0
USR_129,6.6,3.0,1.0,4.4,6.8,95.0
USR_130,7.5,3.1,0.9,5.0,6.9,113.0
USR_131,5.0,2.9,1.3,4.6,6.3,133.0
USR_132,7.9,1.9,0.8,3.4,6.5,87.0
USR_133,6.4,2.2,1.4,4.8,6.5,88.0
USR_134,6.1,2.7,0.5,5.0,6.6,111.0
USR_135,5.6,1.9,1.6,4.9,7.0,105.0
USR_136,5.0,2.9,1.4,5.4,7.1,123.0
USR_137,7.2,2.4,1.3,5.2,7.8,104.0
USR_138,6.6,2.3,1.6,4.9,6.5,90.0
USR_139,5.3,2.9,1.9,4.4,7.5,104.0
USR_140,5.3,2.7,1.6,3.2,6.9,112.0
USR_141,6.2,2.3,0.5,4.8,7.0,107.0
USR_142,8.0,3.1,0.7,4.7,7.3,103.0
USR_143,6.3,2.0,1.0,4.7,6.4,111.0
USR_144,5.1,2.8,1.2,3.5,7.2,113.0
USR_145,6.3,2.8,1.4,3.6,7.1,116.0
USR_146,6.3,2.3,0.9,5.3,7.2,105.0
USR_147,4.1,2.7,1.3,4.5,7.1,92.0
USR_148,6.5,1.9,0.9,5.0,8.2,97.0
USR_149,6.3,3.0,1.0,4.5,6.7,113.0
USR_150,7.1,2.4,0.6,4.5,6.7,83.0
